Subnum,Parent1,Parent2,Parent3,PR1,PR2,PR3,RS1,RS2,RS3,Commit1,Commit2,Commit3,Stability1,Stability2,Stability3,Stability4,age,gender,living_area,pol_orientation_overall
127,4,5,2,2,2,4,2,1,1,2,3,3,3,4,4,4,18,2,3,4
39,4,5,2,2,2,2,1,2,1,4,6,5,3,3,5,5,18,2,2,2
287,2,3,1,5,5,2,2,2,1,3,5,5,5,4,3,2,21,2,4,5
92,5,2,1,3,3,5,2,2,2,4,5,4,5,5,5,5,18,2,2,4
65,3,5,4,3,2,5,1,1,5,3,5,4,5,5,6,5,24,2,4,2
147,3,6,6,4,4,4,3,2,2,4,4,5,4,5,5,7,18,2,2,3
228,6,6,4,1,1,5,2,1,2,5,5,6,5,5,5,3,18,1,2,5
85,2,5,2,3,3,3,2,1,3,4,6,3,5,5,5,6,20,2,3,2
271,3,5,5,2,2,3,3,3,2,4,5,5,2,3,3,5,18,2,2,2
34,4,5,2,3,3,3,2,1,2,3,5,3,4,5,4,6,19,2,2,4
268,4,3,3,4,4,4,4,2,4,2,3,4,5,4,5,5,19,1,4,4
200,5,6,2,3,2,3,4,2,2,4,5,5,6,5,3,5,18,1,2,4
246,5,5,5,5,4,3,2,1,2,5,3,5,3,3,5,5,18,2,4,4
334,5,5,3,3,3,2,2,2,2,2,4,3,3,3,5,5,23,1,2,4
313,2,4,2,2,2,5,1,1,1,6,6,6,2,5,5,5,20,2,5,3
317,3,5,5,2,3,4,1,3,2,4,4,4,5,4,6,3, ,2,2,1
266,2,5,2,2,2,2,1,1,1,5,5,3,3,3,3,3,18,1,2,3
226,3,4,2,3,2,2,3,1,1,4,5,4,4,4,4,5,18,2,3,3
322,3,5,2,2,3,2,1,2,2,5,5,5,3,3,5,3,21,2,2,2
215,4,4,6,3,2,4,4,1,3,3,4,4,4,6,6,6,18,2,2,4
70,5,5,5,4,4,4,1,3,7,4,5,4,4,6,3,5,21,2,2,4
53,5,4,5,3,3,2,3,2,2,5,5,4,5,5,4,5,19,2,2,3
148,2,5,4,3,3,4,1,2,1,6,7,3,5,5,5,5,18,2,4,3
204,5,5,3,2,2,3,1,1,2,5,5,6,4,2,5,4,18,2,4,3
146,6,5,3,3,3,2,1,5,5,2,4,6,6,5,6,6,18,2,1,4
173,3,5,3,2,2,5,6,2,3,2,5,5,2,7,6,5,18,2,2,2
253,5,5,5,4,4,4,2,3,2,5,4,3,4,4,3,5,18,2,3,2
340,2,5,5,1,1,2,1,2,1,4,3,3,2,4,3,3,18,1,2,3
163,5,5,5,4,4,4,5,2,5,3,4,2,5,5,4,5,18,2,2,5
21,5,5,2,2,1,2,1,2,2,5,5,5,2,3,3,5,20,1,3,4
278,4,4,2,2,2,2,2,1,1,4,5,4,4,4,2,5,18,2,4,4
58,5,5,2,3,3,4,1,1,2,4,4,4,5,5,5,5,22,1,2,3
150,3,5,2,2,2,2,5,1,4,3,3,2,4,2,5,3,20,1,2,2
117,4,5,4,3,2,7,2,2,2,3,2,3,3,4,4,5,20,1,2,2
31,4,3,3,2,2,2,1,2,2,3,2,6,3,6,5,7,21,2,1,5
178,5,6,6,2,2,5,5,1,2,6,6,5,5,5,5,6,18,2,5,3
88,4,5,2,1,2,1,2,2,1,2,4,5,5,2,4,5,19,2,2,6
202,4,5,4,2,2,2,2,2,2,4,5,4,5,4,4,5,18,2,4,4
276,2,2,2,1,1,1,2,2,1,6,6,6,2,5,3,5,18,2,4,3
181,2,4,2,2,2,2,2,2,2,4,5,6,4,4,6,2,19,2,4,1
238,3,2,3,2,3,3,2,2,3,3,3,3,5,5,5,5,20,2,2,4
214,5,6,5,3,3,6,2,2,3,5,5,4,5,5,6,6,18,1,2,4
119,5,5,5,3,3,2,2,1,2,5,3,5,5,2,5,5,18,2,2,3
205,6,5,4,5,5,4,2,3,2,5,5,5,5,5,5,5,17,2,1,5
27,5,5,5,3,3,5,5,2,2,2,2,3,5,5,5,6,20,1,2,4
47,1,3,2,1,1,1,1,1,1,5,5,5,4,4,4,2,21,1,3,4
136,5,5,4,4,4,4,4,2,2,2,2,2,5,7,6,7,22,2,2,3
51,2,5,5,2,3,3,3,1,1,6,6,5,3,4,3,2,19,2,2,3
315,3,6,4,2,2,2,2,1,1,4,5,3,4,2,3,2,19,1,2,4
72,2,4,4,2,2,2,1,1,1,5,5,4,4,4,2,2,25,2,2,4
323,2,3,2,2,2,2,2,2,2,2,5,3,5,5,5,5,21,2,1,2
75,3,5,3,1,1,3,1,1,1,4,6,5,4,2,4,4,19,2,2,3
44,2,2,2,3,2,2,2,1,2,3,2,3,5,3,5,2,18,1,2,5
263,5,6,5,2,4,2,4,2,2,2,5,5,5,2,5,5,19,2,3,5
100,5,5,2,3,2,3,2,1,2,2,5,2,3,2,6,5,20,2,2,2
196,5,6,3,3,3,3,2,3,2,2,4,7,6,4,6,5,18,2,3,4
354,6,5,4,5,5,5,5,3,3,4,5,4,5,5,6,7,19,2,1,1
112,4,5,5,2,2,2,1,2,2,4,5,5,5,4,5,5,21,2,4,5
269,2,2,1,1,1,3,2,2,1,5,3,5,4,3,5,3,18,2,2,2
74,1,4,4,1,1,1,1,1,1,4,4,4,3,1,4,5,22,1,2,2
210,5,5,3,3,3,5,5,3,2,2,5,6,5,5,5,5,19,2,3,4
307,5,5,5,2,1,5,2,1,2,2,2,3,4,3,3,6,18,2,2,2
84,2,2,3,1,1,2,1,1,1,3,5,6,2,3,2,2,19,1,2,6
165,3,6,4,2,2,5,2,1,2,3,5,3,5,2,6,3,18,1,2,1
32,5,2,5,2,2,2,1,1,1,3,6,4,5,5,5,5,18,2,2,4
118,3,5,3,3,3,7,2,1,2,2,2,5,6,2,7,7,19,2,2,4
161,2,2,2,2,1,2,1,1,1,4,4,3,3,3,5,5,20,2,2,2
283,6,6,2,2,2,5,1,1,2,3,6,3,2,5,3,5,18,1,2,3
90,6,6,3,5,5,3,4,5,3,2,2,3,7,6,6,7,19,2,2,7
155,5,6,3,1,1,1,2,2,2,5,5,5,2,5,3,5,18,2,2,3
264,1,3,1,1,1,3,1,1,1,6,7,6,2,2,3,3,19,2,2,4
45,3,5,2,1,1,1,2,1,2,2,6,5,4,5,5,6,19,2,3,5
281,3,3,5,1,1,1,1,1,1,7,5,4,2,2,2,4,18,1,2,5
324,6,5,2,2,2,2,2,2,1,6,4,2,3,5,2,4,22,1,2,2
197,2,5,2,1,1,5,2,1,1,3,5,6,2,1,2,5,19,2,2,4
66,2,5,2,2,2,2,1,2,2,5,6,5,3,2,5,3,18,2,5,4
275,5,6,5,3,3,5,3,2,5,3,2,5,6,7,6,6,18,2,4,2
311,5,5,5,5,5,5,4,2,5,2,2,2,6,6,6,7,18,2,2,2
312,2,5,6,1,1,5,1,1,1,1,5,2,2,2,2,2,18,2,2,5
98,5,5,5,1,1,1,2,2,2,3,5,5,2,2,4,3,18,2,4,5
89,5,5,5,3,3,5,4,5,1,1,3,3,4,7,5,3,19,2,3,2
120,4,5,5,2,2,3,2,2,2,3,4,4,2,2,2,3,18,2,2,2
158,5,5,3,2,2,2,2,3,2,3,5,5,4,5,5,5,18,2,2,4
23,2,2,3,1,1,1,1,1,1,5,5,5,2,2,3,2,19,2,3,2
122,2,5,3,4,2,5,2,1,1,2,3,5,5,5,5,5,18,2,3,6
141,5,5,4,5,5,5,3,1,2,3,2,2,5,5,6,7,18,2,2,4
62,4,5,3,2,2,2,3,3,2,4,5,2,3,4,3,5,19,2,3,2
259,5,5,4,2,2,2,1,1,2,4,4,4,3,3,3,4,19,1,5,1
139,6,6,5,5,4,6,4,1,5,1,1,2,6,5,5,7,18,2,4,2
6,2,5,4,2,1,1,5,2,1,2,5,3,2,3,2,3,19,1,3,2
329,1,6,4,1,1,1,4,1,1,4,4,4,1,3,2,4,19,1,1,1
235,2,5,5,1,2,3,2,2,2,2,3,4,3,5,5,6,18,2,3,5
3,4,4,4,2,2,3,2,2,2,4,6,5,2,2,2,2,18,2,2,4
328,5,5,5,2,2,3,1,1,1,3,5,4,3,3,4,3,20,2,2,3
64,2,2,2,3,2,3,2,2,2,2,6,6,5,5,5,5,19,2,3,2
170,5,5,5,1,1,2,1,5,1,2,5,5,5,5,5,5,19,2,2,5
286,7,7,4,2,2,3,2,1,2,4,5,4,4,2,4,5,18,2,2,6
48,5,5,3,4,2,7,2,1,2,4,2,3,5,4,5,5,19,1,3,3
309,1,5,2,1,2,3,1,1,1,7,5,4,4,5,2,3,20,1,3,6
295,5,5,2,3,5,5,2,1,2,2,3,1,6,6,5,6,18,2,2,4
33,1,5,1,1,1,1,1,1,1,4,6,6,5,2,5,5,21,2,2,3
257,5,6,3,3,4,4,2,2,2,6,6,6,3,2,3,3,19,2,2,2
5,6,6,6,4,3,2,2,1,4,2,2,2,5,4,5,5,18,1,3,3
14,2,5,3,4,3,5,2,6,1,3,5,3,4,5,3,6,18,2,2,4
230,4,5,2,3,2,2,1,2,2,7,6,6,2,2,3,3,20,1,4,2
166,2,1,2,2,1,4,2,2,1,5,5,4,2,2,3,4,18,2,3,4
342,2,4,2,4,2,3,2,2,1,3,6,5,4,5,5,5,18,2,4,4
262,4,5,4,4,4,3,4,2,4,4,6,4,4,4,4,4,18,2,4,2
97,5,4,2,1,1,1,1,1,1,6,6,4,2,4,5,2,18,2,2,4
63,5,5,3,1,1,2,4,2,4,3,6,4,5,5,6,3,19,2,2,1
176,5,5,3,2,2,3,2,2,1,5,5,5,4,6,4,5,19,2,4,4
102,4,2,1,1,1,5,1,1,1,5,7,5,1,1,1,5,19,1,4,1
351,1,3,2,1,1,1,1,1,1,4,3,4,2,5,2,5,18,1,4,4
124,3,6,5,5,5,6,5,2,2,2,6,6,6,2,5,7,19,2,4,2
331,4,3,2,1,3,2,2,1,1,5,4,4,3,2,5,3,20,1,2,1
332,5,5,1,4,4,4,1,1,1,5,6,6,4,4,4,5,18,2,5,1
299,1,3,2,1,1,1,1,1,1,6,4,4,4,4,3,3,18,1,2,5
242,4,5,2,2,2,2,2,2,1,4,4,4,5,5,5,5,18,2,2,4
9,3,3,3,3,2,2,1,1,2,2,2,5,1,3,5,5,18,1,2,3
160,5,5,4,1,1,1,1,1,1,3,3,4,2,2,4,5,18,1,2,3
274,2,3,2,2,2,2,1,1,1,5,5,4,4,3,7,6,18,2,2,3
159,5,5,1,1,1,1,1,1,1,7,7,7,4,1,5,1,18,1,3,6
240,1,3,1,1,1,3,1,1,1,5,7,6,3,4,2,1,18,1,3,5
297,1,1,1,2,1,1,1,1,1,6,6,5,3,1,3,2,19,2,5,2
17,2,3,2,2,2,3,1,1,1,5,5,6,2,2,2,2,19,2,3,5
241,5,5,4,2,2,2,2,1,1,4,5,4,4,5,5,5,19,1,3,2
219,5,5,1,1,1,1,1,1,1,2,2,3,5,5,5,2,19,2,2,4
326,2,1,2,1,2,2,2,2,1,2,3,4,2,3,1,3,19,1,2,6
198,1,2,5,1,1,1,1,1,1,7,6,7,5,2,5,5,19,1,4,5
30,5,5,5,4,4,4,5,3,3,3,3,3,6,3,6,6,19,2,2,7
8,4,6,5,2,3,5,1,1,2,3,3,5,6,5,4,7,18,4,2,5
175,5,5,4,6,4,4,2,2,2,2,1,1,5,6,7,6,18,2,3,2
116,3,6,6,4,4,2,1,4,1,1,3,5,7,5,7,6,18,1,1,4
292,5,5,3,5,5,5,2,2,2,3,3,4,6,5,6,7,18,2,2,2
131,5,5,2,2,2,3,1,6,2,2,5,5,4,3,2,5,18,1,2,4
59,3,6,2,3,1,5,2,2,6,2,2,5,5,4,5,5,19,2,3,2
113,5,6,4,5,4,5,5,1,4,2,3,3,5,5,5,7,18,2,3,1
24,4,5,2,1,1,1,1,1,1,7,7,6,3,3,2,3,19,1,2,2
244,3,2,5,2,2,2,2,1,2,2,4,2,2,6,6,7,18,1,2,4
218,2,3,2,1,1,2,1,1,3,2,5,1,2,2,2,2,19,2,2,1
206,5,6,5,5,5,5,5,2,5,2,3,3,4,5,5,6,18,2,2,2
192,2,5,5,6,6,6,3,1,3,6,6,3,6,6,6,7,18,2,2,4
36,3,2,3,1,1,1,1,1,1,6,6,6,2,2,2,3,21,1,2,4
343,2,2,2,1,1,4,1,1,1,4,6,5,2,2,4,5,18,2,2,4
291,4,5,3,1,1,2,2,2,2,2,4,2,5,5,6,6,18,1,2,4
78,4,4,3,1,1,1,1,1,1,6,5,5,5,2,5,5,19,2,2,7
99,3,3,2,1,1,2,1,1,2,5,6,5,3,1,3,3,19,2,2,3
46,6,5,2,3,2,3,2,2,2,6,5,3,6,5,6,6,19,2,5,5
221,3,3,2,4,3,3,2,1,1,1,4,2,5,5,6,5, , , , 
298,1,2,2,2,2,2,1,2,1,5,4,5,4,4,5,3,20,2,5,4
4,5,4,5,3,5,5,2,1,1,5,6,5,5,5,3,5,21,2,2,2
239,7,7,2,5,5,4,2,4,1,3,5,4,3,5,5,7,18,2,2,4
37,2,6,2,2,2,2,2,2,2,6,4,2,2,2,2,2,22,1,1,4
22,4,5,2,2,2,2,2,2,2,3,6,5,5,2,5,3,19,2,4,5
125,2,5,6,5,5,5,5,1,2,2,3,2,3,2,2,5,18,2,2,2
213,3,5,3,1,1,2,2,1,2,6,5,3,3,3,3,3,18,1,2,2
290,3,2,2,2,2,5,2,2,2,2,3,5,2,3,5,5,18,2,2,4
11,4,3,4,3,2,2,2,2,3,3,3,3,7,5,4,7,20,2,2,4
82,7,6,5,4,5,4,5,2,1,4,5,4,6,6,5,5,21,2,3,6
55,6,6,5,4,3,3,3,2,1,3,5,4,5,4,5,3,19,2,3,3
220,6,6,6,1,3,4,5,2,4,1,3,2,7,5,6,5,18,2,2,4
279,3,5,5,5,4,6,5,5,2,3,5,5,3,5,5,6,20,2,2,4
306,5,5,3,2,4,3,2,6,2,5,5,6,5,6,5,5,19,1,2,4
225,5,5,4,1,1,1,1,2,2,2,5,6,2,5,5,5,18,2,3,3
288,6,6,6,2,2,2,3,3,3,2,5,5,5,5,5,5,18,2,2,5
